rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
17	spotify:track:187Pge0WmJNoS73kaIORSE	Douglas & Vinicius, MC Bruninho	Figurinha - Ao Vivo	Virgin Music Label And Artist Services (S&D)	3	16	192	474583	187Pge0WmJNoS73kaIORSE
18	spotify:track:42P3wMiPfXQM93TYZotuPQ	Gusttavo Lima	De Menina pra Mulher - Ao Vivo	Sony Music Entertainment	3	18	129	445067	42P3wMiPfXQM93TYZotuPQ
19	spotify:track:2R1OgezGfBMeiAcMpJ1EkH	Zé Vaqueiro	Letícia	Sony Music Entertainment	12	19	89	444609	2R1OgezGfBMeiAcMpJ1EkH
20	spotify:track:1O74aTse7W5hd2rAvnEVaW	Jeff Costa, Mc Danny	Xerecard	Love Funk & Adm Mídias Brasil	20	20	17	432637	1O74aTse7W5hd2rAvnEVaW
21	spotify:track:0eoMMLrWtXbLk64baeESkc	Marcos & Belutti, Jorge & Mateus	Tudo Indica (feat. Jorge & Mateus) - Ao Vivo	Sony Music Entertainment	21	21	136	404962	0eoMMLrWtXbLk64baeESkc
22	spotify:track:1UF3sCkxXH4OE7ja83GRzj	Gusttavo Lima	Espetinho - Ao Vivo	Sony Music Entertainment	22	22	66	401443	1UF3sCkxXH4OE7ja83GRzj
23	spotify:track:3dPvQLKl42dMYWV4LWRTLK	Os Barões Da Pisadinha	Tá Rocheda	Sony Music Entertainment	4	30	334	398250	3dPvQLKl42dMYWV4LWRTLK
24	spotify:track:1X0MaGErD8rcspqQs9s2m0	Zé Felipe	Só Tem Eu	Som Livre	3	24	106	393904	1X0MaGErD8rcspqQs9s2m0
25	spotify:track:7J3QMuDCSv56jRSiD9jFBF	Eric Land, Xand Avião	Cidade Inteira	Eric Land	5	26	204	393672	7J3QMuDCSv56jRSiD9jFBF
26	spotify:track:2QCwoYDn4DRfjs4NhW2KpO	João Bosco e Gabriel, Humberto & Ronaldo	Alô Ex-Amor - Ao Vivo	João Bosco e Gabriel	10	25	152	392588	2QCwoYDn4DRfjs4NhW2KpO
27	spotify:track:6WXglvTFRmjlHHhgjYMNif	MC Hariel, Alok, MC Ryan SP, Mc Davi, Salvador Da Rima	Ilusão (Cracolândia)	GR6 Music	1	23	73	382042	6WXglvTFRmjlHHhgjYMNif
28	spotify:track:1nDCZBI8MaHXI2f36dnQyG	Tierry	Rita	Tierry	4	32	129	377258	1nDCZBI8MaHXI2f36dnQyG
29	spotify:track:07c9lzwx1IIm101PnB4BZu	MC Levin, Caverinha	É Só Botada	Master Gold	27	27	75	376598	07c9lzwx1IIm101PnB4BZu
30	spotify:track:260n4ECk9j4IEvTAVBYojl	Matheus & Kauan	Nem Doeu - Ao Vivo	Universal Music Ltda.	12	28	241	371973	260n4ECk9j4IEvTAVBYojl
31	spotify:track:07AQkmp456NpEnT8HR7WLy	Teto, Matuê	M4	30PRAUM	20	34	45	367521	07AQkmp456NpEnT8HR7WLy
32	spotify:track:4zsiMjB0794HztyqUkD3Zi	Dilsinho, Henrique & Juliano	Sogra - Ao Vivo	Sony Music Entertainment	5	31	231	366386	4zsiMjB0794HztyqUkD3Zi
33	spotify:track:3vu864xi5Xis9VfOsJpmXu	LUDMILLA	Rainha da Favela	WM Brazil	7	29	74	358070	3vu864xi5Xis9VfOsJpmXu
34	spotify:track:3S2iI46NmKyZsoxs2NByIP	Tarcísio do Acordeon, Vitor Fernandes	Nêga	Sua Música	26	35	102	354158	3S2iI46NmKyZsoxs2NByIP
35	spotify:track:6juD9PQwAPvuXYIAE2gjhO	Henrique & Juliano	Volta Por Baixo - Ao Vivo	Virgin Music Label And Artist Services (S&D)	2	33	381	352662	6juD9PQwAPvuXYIAE2gjhO
36	spotify:track:2pBEAodCImE4LgbKAG4bfz	Bruno & Marrone, Wesley Safadão	Último Beijo	Worldshow Promoções e Eventos	36	37	49	345825	2pBEAodCImE4LgbKAG4bfz
37	spotify:track:5r9CZJMoMmxio2AnJdxuDS	Grupo Menos É Mais, Di Propósito, Vou Zuar	Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo	Som Livre	19	36	236	341861	5r9CZJMoMmxio2AnJdxuDS
38	spotify:track:5gTgQBtNP08fUijxpEgmzF	Matheus & Kauan	É Problema	Universal Music Ltda.	38	38	73	336824	5gTgQBtNP08fUijxpEgmzF
39	spotify:track:64I6t2tuUGnIlaDIzHJ6YI	Marília Mendonça, Maiara & Maraisa	Quero Você do Jeito Que Quiser	Som Livre	4	39	199	332175	64I6t2tuUGnIlaDIzHJ6YI
40	spotify:track:3tkEf7vw4zDBFAQxY1vdcv	Anderson & Vei da Pisadinha	Elas Gostam de Gasolina - Ao Vivo	CmdShft	34	41	61	331790	3tkEf7vw4zDBFAQxY1vdcv
41	spotify:track:3KfyRuNdcCGsZb15sqrXDA	Mc Talibã, MC 3L	Um Sabadão Desse Uma Lua Dessa	FW MUSIC	27	40	104	324260	3KfyRuNdcCGsZb15sqrXDA
