Position	TrackName	Artist	Streams	URL	Id
175	ASSIM NASCE UM BÊBADO	Luan Santana	745929	https://open.spotify.com/track/3p3iOpzsKOGMeNBaexBXXR	3p3iOpzsKOGMeNBaexBXXR
176	drivers license	Olivia Rodrigo	742699	https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH	5wANPM4fQCJwkGd4rN57mH
177	Storiezin	Raí Saia Rodada	735678	https://open.spotify.com/track/1h6a1gcgHa4hg09xEmue3V	1h6a1gcgHa4hg09xEmue3V
178	Manda Áudio	Di Propósito	734829	https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84	0in6Rc29qdyOkhKyYw4A84
179	Ain't Shit	Doja Cat	727965	https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm	5lAnYvAIkSDNXqfo7DyFUm
180	Liberdade Provisória - Live - Ibirapuera / 2019	Henrique & Juliano	722057	https://open.spotify.com/track/7Cf2Hsy3cPlA4e115tElXv	7Cf2Hsy3cPlA4e115tElXv
181	Esperando Você	João Gomes	715521	https://open.spotify.com/track/1S3taf3Ml2hNxXeJEe6ZXG	1S3taf3Ml2hNxXeJEe6ZXG
182	Pulei na Piscina - Ao Vivo	Guilherme & Benuto	714910	https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H	1uA7fD01YlQr1Rm0oyNB4H
183	Ei Tudo Bem	MC Zaquin	713504	https://open.spotify.com/track/3W2aK80vK0AA7EwZeiUcwH	3W2aK80vK0AA7EwZeiUcwH
184	É Amor	João Gomes	708946	https://open.spotify.com/track/4nEhc8lB3L2NhgF1ZiXKcE	4nEhc8lB3L2NhgF1ZiXKcE
185	Preta do Cabelo Cacheado	Th CDM	708335	https://open.spotify.com/track/73x4PDzlTdJkAa8GtjnUs0	73x4PDzlTdJkAa8GtjnUs0
186	Minha Vontade de Te Amar	Zé Neto & Cristiano	704721	https://open.spotify.com/track/28kNbvupVtJ6cPmGvAT58O	28kNbvupVtJ6cPmGvAT58O
187	melhor sozinha :-)-:	Luísa Sonza	699210	https://open.spotify.com/track/6e4ewdwc5OhGhmnDHyNraC	6e4ewdwc5OhGhmnDHyNraC
188	Mds	Kawe	697987	https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF	0QglpM23kl9ldvVdoYNZwF
189	deja vu	Olivia Rodrigo	697287	https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr	6HU7h9RYOaPRFeh0R3UeAr
190	SexToU	Rennan da Penha	686127	https://open.spotify.com/track/0RMpa3qNoB6rlVyhRmwwVO	0RMpa3qNoB6rlVyhRmwwVO
191	Assault (Rio)	Mc Poze do Rodo	683704	https://open.spotify.com/track/4FOf88scN5qTRGXc55tGJ0	4FOf88scN5qTRGXc55tGJ0
192	Take My Breath	The Weeknd	680276	https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u	6M3PsepEj5gyJoIi7Xvr7u
193	Girl From Rio	Anitta	673537	https://open.spotify.com/track/2plRom0urixt6BE8t7kOhQ	2plRom0urixt6BE8t7kOhQ
194	Amor e Fé - Acústico	Hungria Hip Hop	672398	https://open.spotify.com/track/4XcWXKMKp53c8OU3HHlxgL	4XcWXKMKp53c8OU3HHlxgL
195	Fair Trade (with Travis Scott)	Drake	668041	https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS	40iJIUlhi6renaREYGeIDS
196	Meia Noite (Você tem meu Whatsapp)	Tarcísio do Acordeon	666242	https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA	6sPBi0qLI6KM3yXX56NxsA
197	Esqueceu Foi Porra	Eric Land	664165	https://open.spotify.com/track/2xlw13Ns5yz9XZGtfnpPN9	2xlw13Ns5yz9XZGtfnpPN9
198	Alive (It Feels Like)	Alok	661374	https://open.spotify.com/track/4fB85IhVASxXMWgoke5WVJ	4fB85IhVASxXMWgoke5WVJ
199	Kenny G	Matuê	661256	https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW	3MkdA6vwF0ifRl86yzTlJW
200	Tudo Indica (feat. Jorge & Mateus) - Ao Vivo	Marcos & Belutti	659959	https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc	0eoMMLrWtXbLk64baeESkc
