rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
186	spotify:track:7DmZMqXYgQ1oI3z3bGUEbi	GIULIA BE	(não) era amor	WM Brazil	186	-1	1	81623	7DmZMqXYgQ1oI3z3bGUEbi
187	spotify:track:0WhDotK0QXigmsrlw0DxKK	MC Kevin o Chris, Sodré	Evoluiu	ADpar	2	191	328	80566	0WhDotK0QXigmsrlw0DxKK
188	spotify:track:6iW38RGqdDGOofmz2HeXLW	MEDUZA, Alok, Goodboys	Piece Of Your Heart - Alok Remix	Virgin	102	174	265	80263	6iW38RGqdDGOofmz2HeXLW
189	spotify:track:4fMjqKYYsvtT6Fvca8lGFl	Turma do Pagode	Sua Mãe Vai Me Amar	Turma do Pagode Produções Artísticas ltda.	39	187	466	80017	4fMjqKYYsvtT6Fvca8lGFl
190	spotify:track:7M6D0ACikinC39ZtuEwMPo	Dayvi, Victor Cardenas, Rennan da Penha, Kelly Ruíz	Baila Comigo (feat. Kelly Ruiz) - Rennan da Penha Remix	Sony Music Entertainment	189	189	2	79777	7M6D0ACikinC39ZtuEwMPo
191	spotify:track:03UlGexCDqWJwZXGXLjgef	Fernando & Sorocaba	Plateia - Ao Vivo	Sony Music Entertainment	136	183	21	79772	03UlGexCDqWJwZXGXLjgef
192	spotify:track:4xwPOyN9VgaTPehdsLiYul	Melim	Dois Corações	Universal Music Ltda.	64	182	360	79717	4xwPOyN9VgaTPehdsLiYul
193	spotify:track:0EZuXcsnjEmGuRYdFdcctX	Marília Mendonça	Sem Sal - Ao Vivo	Som Livre	15	196	469	79598	0EZuXcsnjEmGuRYdFdcctX
194	spotify:track:1YAtg8jo5fR3Q01eO2jPTl	Mc Bola, Mc Magal	Positividade	GR6 Music	120	184	131	79208	1YAtg8jo5fR3Q01eO2jPTl
195	spotify:track:371Up3WP7OqJNFPf0BiyUe	Zé Neto & Cristiano	Largado Às Traças - Ao Vivo	Som Livre	1	197	573	79190	371Up3WP7OqJNFPf0BiyUe
196	spotify:track:2PADJK4rhdklqFLQFa5oMX	Atitude 67	Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo	Universal Music Ltda.	14	-1	648	78631	2PADJK4rhdklqFLQFa5oMX
197	spotify:track:1nqaSoiLuqevDes4S18sO7	Gusttavo Lima	Milu	Gusttavo Lima	5	194	243	78589	1nqaSoiLuqevDes4S18sO7
198	spotify:track:5eMmT4Ava5BGThju0AD8vQ	Gusttavo Lima	Cem Mil - Ao Vivo	Som Livre	1	200	468	78542	5eMmT4Ava5BGThju0AD8vQ
199	spotify:track:7MnT7msJZg3XBAS0OTfGrB	Legião Urbana	Tempo Perdido	EMI Brazil	153	-1	116	78044	7MnT7msJZg3XBAS0OTfGrB
200	spotify:track:7FIWs0pqAYbP91WWM0vlTQ	Eminem, Juice WRLD	Godzilla (feat. Juice WRLD)	Shady/Aftermath/Interscope Records	123	185	31	77347	7FIWs0pqAYbP91WWM0vlTQ
