,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
78,79,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,2,77,306,119379,6v3KW9xbzN5yKLt9YKDYA2,0.9988,0.033,0.724,0.244
79,80,spotify:track:4E6RdcCWMiHTu7zy1VTNDo,Marília Mendonça,Todo Mundo Vai Sofrer - Ao Vivo,Som Livre,1,90,341,119291,4E6RdcCWMiHTu7zy1VTNDo,0.0,0.0,1.0,0.0
80,81,spotify:track:2RMOwSvOGQyy985Vx4VSGQ,"LUDMILLA, Topo La Maskara, Walshy Fire",Verdinha,WM Brazil,8,88,145,117638,2RMOwSvOGQyy985Vx4VSGQ,-0.1431,0.049,0.917,0.034
81,82,spotify:track:1G60NjxeOS7veR1EXuKPaW,Gustavo Mioto,Fake News - Ao Vivo Em São Paulo / 2019,Universal Music Ltda.,18,95,349,117439,1G60NjxeOS7veR1EXuKPaW,0.9581,0.036,0.867,0.097
82,83,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,"KAROL G, Nicki Minaj",Tusa,TUSA - Karol G & Nicki Minaj,38,71,109,117152,7k4t7uLgtOxPwTpFmtJNTY,-0.8339,0.053,0.908,0.04
83,84,spotify:track:4RC2nzqaQygxoVQOVv3XlT,"Leo Santana, Anitta",Contatinho - Ao Vivo,Universal Music Ltda.,5,89,229,116399,4RC2nzqaQygxoVQOVv3XlT,0.8692,0.014,0.958,0.028
84,85,spotify:track:2qD7VoDYcrAPY0cVEfpsR5,"Anitta, Marília Mendonça",Some que ele vem atrás,WM Brazil,2,100,175,115383,2qD7VoDYcrAPY0cVEfpsR5,0.0,0.0,1.0,0.0
85,86,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,60,80,237,114810,7qEHsqek33rTcFNT9PFqLf,0.0,0.0,1.0,0.0
86,87,spotify:track:3MkdA6vwF0ifRl86yzTlJW,Matuê,Kenny G,Sony Music Entertainment,5,78,230,113982,3MkdA6vwF0ifRl86yzTlJW,0.8732,0.048,0.888,0.064
87,88,spotify:track:4gDvg62vG96w0qJaF6wzcd,"Diego & Victor Hugo, Zé Neto & Cristiano",A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Sony Music Entertainment,14,111,397,113812,4gDvg62vG96w0qJaF6wzcd,0.0,0.0,1.0,0.0
88,89,spotify:track:7Gk5OrMYaMRtT2JmgJVAfk,"ANAVITÓRIA, Vitor Kley",Pupila,Universal Music Ltda.,14,76,292,113638,7Gk5OrMYaMRtT2JmgJVAfk,-0.5349,0.007,0.993,0.0
89,90,spotify:track:3rDAHk73LZmgJIyGZstWQ0,Pixote,Nem de Graça / Saudade Arregaça - Ao Vivo,GR Shows,51,109,236,113267,3rDAHk73LZmgJIyGZstWQ0,0.0,0.0,1.0,0.0
90,91,spotify:track:4Y7ay3naWoluoOM3xIj1UZ,LUDMILLA,"A boba fui eu - Recorded At Mosh Studios, São Paulo",WM Brazil,68,93,35,111056,4Y7ay3naWoluoOM3xIj1UZ,0.8738,0.0,0.975,0.025
91,92,spotify:track:7sYAS4CpbV90oSemgaEQat,"Alok, Dynoro",On & On,Columbia/B1 Recordings,66,86,151,110533,7sYAS4CpbV90oSemgaEQat,0.9986,0.018,0.712,0.271
92,93,spotify:track:1Cv1YLb4q0RzL6pybtaMLo,Surfaces,Sunday Best,"Surfaces, LLC / TenThousand Projects, LLC",76,83,37,110006,1Cv1YLb4q0RzL6pybtaMLo,0.9989,0.027,0.589,0.384
93,94,spotify:track:22rcaYTa2UgcLCbeO0NoNj,"Priscilla Alcantara, Whindersson Nunes",Girassol,Sony Music Entertainment,5,79,132,109320,22rcaYTa2UgcLCbeO0NoNj,0.0,0.0,1.0,0.0
94,95,spotify:track:5dKesZwp6deuhEeW8F1UEi,"Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro",Hit Contagiante,Tudo Nosso Produtora,1,106,267,108499,5dKesZwp6deuhEeW8F1UEi,-0.9337,0.105,0.847,0.048
95,96,spotify:track:59WWulo1LM0njpIkcduCMn,Atitude 67,Tão Linda,Universal Music Ltda.,35,97,262,108168,59WWulo1LM0njpIkcduCMn,0.0,0.0,1.0,0.0
96,97,spotify:track:5U28PY9MekLyCBYtLHGQpe,Melim,Meu Abrigo,Universal Music Ltda.,1,99,698,105041,5U28PY9MekLyCBYtLHGQpe,0.9022,0.04,0.886,0.074
97,98,spotify:track:7McCAKExE8KsI2q4Y8wx4U,"Murilo Huff, Marília Mendonça",Dois Enganados,Artinvox,41,112,327,103145,7McCAKExE8KsI2q4Y8wx4U,0.8225,0.017,0.937,0.046
98,99,spotify:track:4umIPjkehX1r7uhmGvXiSV,"Justin Bieber, Quavo",Intentions (feat. Quavo),RBMG/Def Jam,41,87,75,102683,4umIPjkehX1r7uhmGvXiSV,0.9907,0.046,0.838,0.117
