rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
191	spotify:track:0v8OKUrqZGoEbgEUXScRSQ	Alok, THRDL!FE	Hear Me Tonight	Columbia/B1 Recordings	191	-1	1	66437	0v8OKUrqZGoEbgEUXScRSQ
192	spotify:track:2dpaYNEQHiRxtZbfNsse99	Marshmello, Bastille	Happier	Astralwerks	40	188	572	66397	2dpaYNEQHiRxtZbfNsse99
193	spotify:track:7FikD4RFpmSZIvoP3rRwsS	L7NNON	Perdição	WM Brazil	193	195	3	65024	7FikD4RFpmSZIvoP3rRwsS
194	spotify:track:6oEwV0l34zhnC7OmAqmHjY	ANAVITÓRIA	Me conta da tua janela	Universal Music Ltda.	33	154	9	64826	6oEwV0l34zhnC7OmAqmHjY
195	spotify:track:11Y1IGMIThaxu4ijcXRNYs	Pixote	Nem de Graça	GR Shows	145	-1	222	64637	11Y1IGMIThaxu4ijcXRNYs
196	spotify:track:3CgZi8DMUftJHK6WL2gKc1	Hungria Hip Hop	Um Pedido	Hungria Hip Hop	19	193	280	64608	3CgZi8DMUftJHK6WL2gKc1
197	spotify:track:1dKYlw6v9wofuqb7EXSvPn	DENNIS, Cantini	Isso Que é Vida	Sony Music Entertainment	159	196	31	64524	1dKYlw6v9wofuqb7EXSvPn
198	spotify:track:1DdEU9f7uXklMx6Dm0Mdwq	Orochi, Kizzy	Acende o Isqueiro	Orochi	78	198	162	64359	1DdEU9f7uXklMx6Dm0Mdwq
199	spotify:track:01wavOnjFBNgdMWBFYIAP4	Sorriso Maroto, Dilsinho	50 Vezes - Ao Vivo	Sony Music Entertainment	35	-1	329	64298	01wavOnjFBNgdMWBFYIAP4
200	spotify:track:3nsKjzNGp8ForQahgMo2JV	Henrique & Juliano	Amor Atual - Ao Vivo	Virgin Music Label And Artist Services (S&D)	51	199	27	64151	3nsKjzNGp8ForQahgMo2JV
