Position	TrackName	Artist	Streams	URL	Id
106	Faking Love (feat. Saweetie)	Anitta	1201385	https://open.spotify.com/track/3V7jLMYvvg4BHi4tmDveNc	3V7jLMYvvg4BHi4tmDveNc
107	Coração Na Cama - Ao Vivo	Hugo & Guilherme	1192325	https://open.spotify.com/track/7vCvUJyjMxRkPeo19nxmuk	7vCvUJyjMxRkPeo19nxmuk
108	Calma Bb, Tá nos Melhores Amigos	Mc Th	1190556	https://open.spotify.com/track/3Ox3DxqqRCEEVCPnENVx3g	3Ox3DxqqRCEEVCPnENVx3g
109	Do It To It	ACRAZE	1182723	https://open.spotify.com/track/20on25jryn53hWghthWWW3	20on25jryn53hWghthWWW3
110	Coração de Isca	Bruno & Marrone	1181280	https://open.spotify.com/track/4lHoT8PvMpMg1l5kdxqNmD	4lHoT8PvMpMg1l5kdxqNmD
111	Rei Lacoste	MD Chefe	1175364	https://open.spotify.com/track/1jwEnLN5hMOwotwXfchUaf	1jwEnLN5hMOwotwXfchUaf
112	Corte Americano	Filipe Ret	1169390	https://open.spotify.com/track/68qqVn5kHBv4zc45SDGLnh	68qqVn5kHBv4zc45SDGLnh
113	Não Parei De Sofrer	Gustavo Mioto	1142984	https://open.spotify.com/track/7kwOvJqT8zHXQ4NYUZQ6W2	7kwOvJqT8zHXQ4NYUZQ6W2
114	Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo	Grupo Menos É Mais	1137952	https://open.spotify.com/track/5r9CZJMoMmxio2AnJdxuDS	5r9CZJMoMmxio2AnJdxuDS
115	love nwantiti (feat. Dj Yo! & AX'EL) - Remix	CKay	1123119	https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU	4gvrJnKCKIPiacNsWVQwEU
116	ATENÇÃO	PEDRO SAMPAIO	1115644	https://open.spotify.com/track/5AhnPqydkYbZAp4NkyJ7ED	5AhnPqydkYbZAp4NkyJ7ED
117	Menina Se Prepara	Mc Pepeu	1111406	https://open.spotify.com/track/2aqqXrjrPdRHU9uSeRmL3C	2aqqXrjrPdRHU9uSeRmL3C
118	Imagina A Sentada - Ao Vivo	Matheus & Kauan	1110801	https://open.spotify.com/track/0lxGtl0S9wO2LAFchHrEtM	0lxGtl0S9wO2LAFchHrEtM
119	MONTERO (Call Me By Your Name)	Lil Nas X	1108954	https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W	1SC5rEoYDGUK4NfG82494W
120	Vida Louca	Mc Poze do Rodo	1095827	https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA	7IG7laqVpcvIIULrwWP5SA
121	Woman	Doja Cat	1085743	https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4	6Uj1ctrBOjOas8xZXGqKk4
122	Se Joga no Passinho	Brisa Star	1065888	https://open.spotify.com/track/41pFFOnh1glVNIlrWOpBjb	41pFFOnh1glVNIlrWOpBjb
123	Watermelon Sugar	Harry Styles	1052435	https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY	6UelLqGlWMcVH1E5c4H7lY
124	Bipolar	Mc Davi	1049819	https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x	0qxLQ6opocOGyFnlXqJ53x
125	Paradigmas	Jorge & Mateus	1047362	https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC	17UfXrL7Run3GyZJW4uRjC
126	Foi Pá Pum	Simone & Simaria	1038854	https://open.spotify.com/track/5uztIMqjl5FTZSYDlOBJjV	5uztIMqjl5FTZSYDlOBJjV
127	Será que Dá Certo	Vitor Fernandes	1036424	https://open.spotify.com/track/0lSY2zOUEeB5sfSnkw8M9l	0lSY2zOUEeB5sfSnkw8M9l
128	Mete Um Block Nele	João Gomes	1033547	https://open.spotify.com/track/1QiZYlh3oZg3zgn8eS99aB	1QiZYlh3oZg3zgn8eS99aB
129	Vazou um Áudio - Ao Vivo No Casa Filtr	Avine Vinny	1026824	https://open.spotify.com/track/59wOSyrOPTS1NmNHED6hbI	59wOSyrOPTS1NmNHED6hbI
130	Nunca Vai Ser Nós	Murilo Huff	1019457	https://open.spotify.com/track/6KoWlMNCiFdHnzYSX1Ag8q	6KoWlMNCiFdHnzYSX1Ag8q
131	Faz Amor Comigo Só Hoje	Israel & Rodolffo	1003307	https://open.spotify.com/track/5ItttPiqUksUE240dJ9DT6	5ItttPiqUksUE240dJ9DT6
132	O Ex da Sua Vida	Gusttavo Lima	995328	https://open.spotify.com/track/17Gh6E6eRfAAw7sCgmnkFc	17Gh6E6eRfAAw7sCgmnkFc
133	Blinding Lights	The Weeknd	993902	https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b	0VjIjW4GlUZAMYd2vXMi3b
134	Set do Dj 2W, Vol. 2	MC L da Vinte	992298	https://open.spotify.com/track/5i9QsbNUyVGw8n0K1Oakde	5i9QsbNUyVGw8n0K1Oakde
135	Poesia Acústica 11: Nada Mudou	Pineapple StormTv	988036	https://open.spotify.com/track/6giaOyDFbE4J8iclhCdW7E	6giaOyDFbE4J8iclhCdW7E
136	Não Tô Te Alugando	Humberto & Ronaldo	986015	https://open.spotify.com/track/03D8hNCVDBzQPCHHam1Q16	03D8hNCVDBzQPCHHam1Q16
137	Graveto - Ao Vivo	Marília Mendonça	976475	https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o	3tc8Z4lGzOIwmIVftsxO6o
138	Tapão Na Raba	Raí Saia Rodada	975855	https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr	58pgi1RpcU2fVJsxhm7BIr
139	Me Ame Mais	Jorge & Mateus	967445	https://open.spotify.com/track/4iavXH4dDUMA8yAabnUhSI	4iavXH4dDUMA8yAabnUhSI
140	Pegada de Malvado	Mc Danone	961076	https://open.spotify.com/track/2Ho2vEEJAZOAnpxl9GsFYR	2Ho2vEEJAZOAnpxl9GsFYR
141	Para de Me Chamar Pra Trair	Marília Mendonça	951934	https://open.spotify.com/track/78APwJSo30uWBB5PWROMNw	78APwJSo30uWBB5PWROMNw
142	Passatempo	Wesley Safadão	951927	https://open.spotify.com/track/3ibiPPqHxdmX4nNp4kNHE9	3ibiPPqHxdmX4nNp4kNHE9
143	Freio da Blazer	L7NNON	943665	https://open.spotify.com/track/6m187iACTSAZDYMaV0klqj	6m187iACTSAZDYMaV0klqj
144	Mesa Falsa - Ao Vivo	Guilherme & Benuto	937768	https://open.spotify.com/track/6KBITvbscpEpSIcsOSjww8	6KBITvbscpEpSIcsOSjww8
145	Need to Know	Doja Cat	932973	https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi	3Vi5XqYrmQgOYBajMWSvCi
146	Doutora 3	Mc Kevin	931834	https://open.spotify.com/track/4DWKtQVURjepn8uzBgmwuv	4DWKtQVURjepn8uzBgmwuv
147	Eu Não Vou Namorar	Marília Mendonça	922776	https://open.spotify.com/track/4X76i15ANs7rr70xcUn0Ru	4X76i15ANs7rr70xcUn0Ru
148	M4	Teto	916224	https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy	07AQkmp456NpEnT8HR7WLy
149	Universo Conspirou - Ao Vivo	Henrique & Juliano	912636	https://open.spotify.com/track/6Xz85h33BGWDGgmWYdp6Ga	6Xz85h33BGWDGgmWYdp6Ga
150	Ele É Ele, Eu Sou Eu	Wesley Safadão	909595	https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw	7EWXP47VlXKO3r7mNxuWHw
151	Quem Quer Superar - Ao Vivo	Marcos & Belutti	902890	https://open.spotify.com/track/7MCKsjVXmUxWaHT0fGMuYh	7MCKsjVXmUxWaHT0fGMuYh
