rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
101	spotify:track:6cy3ki60hLwimwIje7tALf	Black Eyed Peas, J Balvin	RITMO (Bad Boys For Life)	Epic/We The Best	69	89	19	866205	6cy3ki60hLwimwIje7tALf
102	spotify:track:2Fxmhks0bxGSBdJ92vM42m	Billie Eilish	bad guy	Darkroom/Interscope Records	30	106	51	855208	2Fxmhks0bxGSBdJ92vM42m
103	spotify:track:2RoWhAVtQrPU53BERYlmYZ	Pineapple StormTv, Cesar Mc, Elana Dara, Kayuá, Froid, Cynthia Luz, MV Bill, Bob do Contra, Hunter, Projota	Poesia Acústica #8: Amor e Samba	Pineapple StormTV	52	99	14	839192	2RoWhAVtQrPU53BERYlmYZ
104	spotify:track:0J6cINt02c8UQqDG7vLShY	Melim	Gelo	Universal Music Ltda.	38	105	30	833269	0J6cINt02c8UQqDG7vLShY
105	spotify:track:1qCLx3nX25NuhfPjM5E1qV	Melim	Ouvi Dizer	Universal Music Ltda.	13	103	87	833208	1qCLx3nX25NuhfPjM5E1qV
106	spotify:track:7eJMfftS33KTjuF7lTsMCx	Powfu, beabadoobee	death bed (coffee for your head)	Columbia	106	-1	1	829339	7eJMfftS33KTjuF7lTsMCx
107	spotify:track:6l1PdE7lQbodewVQh16GCM	Projota, Vitão	Sei Lá	Universal Music Ltda.	29	104	47	827049	6l1PdE7lQbodewVQh16GCM
108	spotify:track:72N0CRIAqjETbhghrkCUW2	Murilo Huff, Marília Mendonça	Dois Enganados	Artinvox	49	117	42	825083	72N0CRIAqjETbhghrkCUW2
109	spotify:track:1xyVMQx51Kab6eLVtE6twx	Lauana Prado, Maiara & Maraisa	Cobaia	Universal Music Ltda.	6	119	84	822607	1xyVMQx51Kab6eLVtE6twx
110	spotify:track:3tU3UAasaDA9OixXGC3O33	Mano Walter, Gustavo Mioto	Fingindo Maturidade - Ao Vivo	Som Livre	19	120	53	815780	3tU3UAasaDA9OixXGC3O33
111	spotify:track:3GSGW5pQhHKBmmQLebX3vx	Mc Anônimo	Pagou De Superada	Gufo Records	75	108	14	808474	3GSGW5pQhHKBmmQLebX3vx
112	spotify:track:5MMrkwK6AgNAsgHVdC7daZ	Dilsinho	Péssimo Negócio (Ao Vivo)	Sony Music Entertainment	18	116	72	800571	5MMrkwK6AgNAsgHVdC7daZ
113	spotify:track:15DHt4fP4FARWLvWkIxdAx	Vou pro Sereno, LUDMILLA	Teu Segredo - Ao Vivo	Sony Music Entertainment	78	113	22	795644	15DHt4fP4FARWLvWkIxdAx
114	spotify:track:0nkDm27DGppCSk8dnGtvPa	POCAH	Não sou obrigada	WM Brazil	16	118	50	793297	0nkDm27DGppCSk8dnGtvPa
115	spotify:track:48CAeajgzcGJaVUSsXd7h0	Guilherme & Benuto, Israel & Rodolffo	Declaração pro Bar - Ao Vivo	Sony Music Entertainment	115	138	5	790814	48CAeajgzcGJaVUSsXd7h0
116	spotify:track:0hVXuCcriWRGvwMV1r5Yn9	Ed Sheeran, Justin Bieber	I Don't Care (with Justin Bieber)	Atlantic Records UK	5	112	45	789020	0hVXuCcriWRGvwMV1r5Yn9
117	spotify:track:2b8fOow8UzyDFAE27YhOZM	Maroon 5	Memories	Interscope Records*	110	121	23	781707	2b8fOow8UzyDFAE27YhOZM
118	spotify:track:1oQppEGTHYN53xfEaTz4ua	PEDRO SAMPAIO	VAI MENINA	WM Brazil	30	125	53	771961	1oQppEGTHYN53xfEaTz4ua
119	spotify:track:3jjujdWJ72nww5eGnfs2E7	Harry Styles	Adore You	Columbia	69	130	15	764333	3jjujdWJ72nww5eGnfs2E7
120	spotify:track:4rnI4obabjGCPI2CCCs5VR	Felipe Araújo	Hoje Eu Beberei - Ao Vivo	Universal Music Ltda.	78	133	22	764219	4rnI4obabjGCPI2CCCs5VR
121	spotify:track:37hCsK2djczyRGWMjqzbxD	Mc Lele JP, MC Neguinho do Kaxeta	Sou Vitorioso	GR6 Music	95	95	11	756622	37hCsK2djczyRGWMjqzbxD
122	spotify:track:67JokRnfWFJ93mA5HLIw6q	Lexa	Aquecimento da Lexa	Som Livre	85	127	6	755423	67JokRnfWFJ93mA5HLIw6q
123	spotify:track:6V43u5SCjkfMpxMAXRPifr	MC JottaPê, DJ RD, MC M10	Sentou e Gostou	KondZilla	3	83	35	751138	6V43u5SCjkfMpxMAXRPifr
124	spotify:track:65i9Mc7h1CG7ssI1OhMPcT	Dilsinho	Onze e Pouquinho	Sony Music Entertainment	122	126	22	747114	65i9Mc7h1CG7ssI1OhMPcT
125	spotify:track:6X0XdIcgwfVa9orJnDMQB0	Pabllo Vittar, Psirico	Parabéns	Sony Music Entertainment	22	110	22	746229	6X0XdIcgwfVa9orJnDMQB0
