,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
53,54,spotify:track:1GWUiFYLYEapxYHnASyOud,Wesley Safadão,Não Valeu,Som Livre,54,70,4,1051960,1GWUiFYLYEapxYHnASyOud,-0.9905,0.126,0.874,0.0
54,55,spotify:track:17Ryox5vWKp92IDW87C5PI,Gusttavo Lima,Quem Traiu Levou - Ao Vivo,Sony Music Entertainment,16,72,39,1045692,17Ryox5vWKp92IDW87C5PI,-0.1531,0.025,0.96,0.015
55,56,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box,Atlantic Records,32,65,22,1038538,0nbXyq5TXYPCO7pr3N8S4I,-0.9883,0.118,0.814,0.068
56,57,spotify:track:5q0NlM6Pm8Pp3orq7zGiRn,"Matheus & Kauan, Jorge & Mateus",Quarta Cadeira - Ao Vivo,Universal Music Ltda.,10,69,64,1031418,5q0NlM6Pm8Pp3orq7zGiRn,0.0,0.0,1.0,0.0
57,58,spotify:track:3ZROq16fQ1o2dWEGkHPHkJ,"Yasmin Santos, Wesley Safadão",Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo,Sony Music Entertainment,35,71,39,1014602,3ZROq16fQ1o2dWEGkHPHkJ,0.0,0.0,1.0,0.0
58,59,spotify:track:48CAeajgzcGJaVUSsXd7h0,"Guilherme & Benuto, Israel & Rodolffo",Declaração pro Bar - Ao Vivo,Sony Music Entertainment,58,74,17,1000154,48CAeajgzcGJaVUSsXd7h0,0.6124,0.0,0.977,0.023
59,60,spotify:track:4HUZBG98TYbxSR9V1V2DWS,"Thiaguinho MT, Mila, JS o Mão de Ouro",Tudo Ok,Sony Music Entertainment,2,66,24,980856,4HUZBG98TYbxSR9V1V2DWS,-0.889,0.063,0.906,0.032
60,61,spotify:track:7ArNH109yIfwIquJ535fsi,"Marcos & Belutti, Gaab",Certo e Duvidoso (feat. Gaab) - Ao Vivo,Sony Music Entertainment,61,76,20,971781,7ArNH109yIfwIquJ535fsi,0.9776,0.0,0.936,0.064
61,62,spotify:track:7DmZMqXYgQ1oI3z3bGUEbi,GIULIA BE,(não) era amor,WM Brazil,45,75,9,958431,7DmZMqXYgQ1oI3z3bGUEbi,0.9964,0.0,0.848,0.152
62,63,spotify:track:3dPvQLKl42dMYWV4LWRTLK,Os Barões Da Pisadinha,Tá Rocheda,Sony Music Entertainment,63,115,19,957163,3dPvQLKl42dMYWV4LWRTLK,-0.7959,0.036,0.964,0.0
63,64,spotify:track:3VQF7gLCASQQ3lQkOnFBhz,"Mila, MC JottaPê",O Amor Que Tu Perdeu,KondZilla,64,78,6,942473,3VQF7gLCASQQ3lQkOnFBhz,0.5042,0.019,0.961,0.02
64,65,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,65,81,40,934934,7qEHsqek33rTcFNT9PFqLf,0.0,0.0,1.0,0.0
65,66,spotify:track:7qpXCkcr3Zj4LDvdiWryns,Diego & Victor Hugo,Erro Antigo - Ao Vivo,Sony Music Entertainment,57,79,20,933770,7qpXCkcr3Zj4LDvdiWryns,0.0,0.0,1.0,0.0
66,67,spotify:track:2TR917wkDeRvwTE5cSfZFf,"Humberto & Ronaldo, Matheus & Kauan",Tchau Brigado - Ao Vivo,Humberto e Ronaldo,53,90,23,920234,2TR917wkDeRvwTE5cSfZFf,0.0,0.0,1.0,0.0
67,68,spotify:track:3vSXPjfcebTt5mB8DXHWM6,Wesley Safadão,Dois Lados,Som Livre,41,87,44,913351,3vSXPjfcebTt5mB8DXHWM6,0.4098,0.0,0.988,0.012
68,69,spotify:track:1K7WzjKDcDdVbKNGrB0gej,"Major Lazer, MC Lan, Anitta, BEAM",Rave de Favela (feat. BEAM),WM Brazil,3,83,17,906151,1K7WzjKDcDdVbKNGrB0gej,-0.9959,0.211,0.724,0.065
69,70,spotify:track:1MmS7UIy3J1BTxfGCRvVqN,Gusttavo Lima,Carreira Solo - Ao Vivo,Sony Music Entertainment,25,77,32,905307,1MmS7UIy3J1BTxfGCRvVqN,0.0,0.0,1.0,0.0
70,71,spotify:track:7vpGKEUPrA4UEsS4o4W1tP,Pabllo Vittar,Amor de Que,Sony Music Entertainment,15,88,32,902919,7vpGKEUPrA4UEsS4o4W1tP,0.995,0.032,0.792,0.176
71,72,spotify:track:3HXLUh9lzSrSLvrvLk2LjC,Henrique & Juliano,Se Eu Fosse Você - Ao Vivo,Virgin Music Label And Artist Services (S&D),66,95,19,897410,3HXLUh9lzSrSLvrvLk2LjC,0.0,0.0,1.0,0.0
72,73,spotify:track:2rRA0VNb8RcaUMAmgWFoCL,"Yasmin Santos, Marília Mendonça",Para Pensa e Volta (feat. Marília Mendonça) - Ao Vivo,Sony Music Entertainment,21,85,50,895090,2rRA0VNb8RcaUMAmgWFoCL,0.0,0.0,1.0,0.0
73,74,spotify:track:7ytR5pFWmSjzHJIeQkgog4,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),South Coast Music Group/Interscope Records,74,82,5,887628,7ytR5pFWmSjzHJIeQkgog4,-0.7983,0.088,0.861,0.051
74,75,spotify:track:7sYAS4CpbV90oSemgaEQat,"Alok, Dynoro",On & On,Columbia/B1 Recordings,62,86,29,881617,7sYAS4CpbV90oSemgaEQat,0.9986,0.018,0.712,0.271
75,76,spotify:track:5STHFaWYO1KeyITjvB4hR8,Marília Mendonça,Tentativas,Som Livre,34,92,17,880206,5STHFaWYO1KeyITjvB4hR8,0.9581,0.018,0.901,0.081
76,77,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,Cactus Jack / Epic,21,80,7,877667,39Yp9wwQiSRIDOvrVg7mbk,0.9874,0.062,0.749,0.189
77,78,spotify:track:6hqJJY6rwAUS2zl9FsCQQH,Dilsinho,Deixa pra Amanhã - Ao Vivo,Sony Music Entertainment,63,84,7,872109,6hqJJY6rwAUS2zl9FsCQQH,0.4215,0.016,0.956,0.028
78,79,spotify:track:7M6D0ACikinC39ZtuEwMPo,"Dayvi, Victor Cardenas, Rennan da Penha, Kelly Ruíz",Baila Comigo (feat. Kelly Ruiz) - Rennan da Penha Remix,Sony Music Entertainment,79,126,5,861628,7M6D0ACikinC39ZtuEwMPo,0.0,0.0,1.0,0.0
79,80,spotify:track:72xB2J9ZeBl0Rzxq2XmzdY,"João Gustavo e Murilo, Analaga",Lençol Dobrado,WM Brazil,2,96,84,859359,72xB2J9ZeBl0Rzxq2XmzdY,0.0,0.0,1.0,0.0
80,81,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,65,116,18,858064,6UelLqGlWMcVH1E5c4H7lY,0.9584,0.0,0.912,0.088
81,82,spotify:track:260n4ECk9j4IEvTAVBYojl,Matheus & Kauan,Nem Doeu - Ao Vivo,Universal Music Ltda.,67,67,2,852500,260n4ECk9j4IEvTAVBYojl,-0.5267,0.015,0.985,0.0
82,83,spotify:track:3Uq45ipGutypFPmETfaoaH,"MC Du Black, DJ 2F",Gaiola É o Troco,EP MIX Editora,1,99,46,848229,3Uq45ipGutypFPmETfaoaH,0.9581,0.0,0.954,0.046
83,84,spotify:track:2epD7jzjNfrQYxdSaODCvF,"Mc Brunyn, Mc Moana","Vai Luan, Rainha dos Faixa Preta",Mc Brunyn,84,128,11,846840,2epD7jzjNfrQYxdSaODCvF,0.0,0.0,1.0,0.0
