rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
136	spotify:track:4lvGHfDuzfv9uDTHMrRMiH	Vitor Kley	O Sol	Midas Music	9	136	68	564767	4lvGHfDuzfv9uDTHMrRMiH
137	spotify:track:6fTt0CH2t0mdeB2N9XFG5r	Lil Nas X	Panini	Columbia	137	-1	1	562257	6fTt0CH2t0mdeB2N9XFG5r
138	spotify:track:6FWMkcaZyKS8I60zR6ro7h	MC Kevin o Chris	Dentro do Carro	ADpar	46	129	37	559565	6FWMkcaZyKS8I60zR6ro7h
139	spotify:track:0EyxB6uQOUC4ex2tbJuu6m	Breno & Caio Cesar	Deixa Eu Te Chamar de Meu Amor	Som Livre	95	134	21	558424	0EyxB6uQOUC4ex2tbJuu6m
140	spotify:track:4iANxSIDT3kGekiquMSAgT	Vitão, Luccas Carlos	Embrasa	Universal Music Ltda.	137	145	16	553732	4iANxSIDT3kGekiquMSAgT
141	spotify:track:6nn9utEXmkfR5iBxerXtB5	Marília Mendonça	Amigo Emprestado - Ao Vivo	Som Livre	109	137	18	551782	6nn9utEXmkfR5iBxerXtB5
142	spotify:track:2odzriVVZBwYOiYJEj30tm	Clau, Cortesia Da Casa, Haikaiss	Pouca Pausa	Universal Music Ltda.	8	144	54	550112	2odzriVVZBwYOiYJEj30tm
143	spotify:track:1G60NjxeOS7veR1EXuKPaW	Gustavo Mioto	Fake News - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	143	146	8	547050	1G60NjxeOS7veR1EXuKPaW
144	spotify:track:371Up3WP7OqJNFPf0BiyUe	Zé Neto & Cristiano	Largado Às Traças - Ao Vivo	Som Livre	1	138	58	542501	371Up3WP7OqJNFPf0BiyUe
145	spotify:track:1F46LaY3gYpvL2r534FeWs	Gusttavo Lima	Respeita o Nosso Fim - Ao Vivo	Som Livre	112	141	35	539352	1F46LaY3gYpvL2r534FeWs
146	spotify:track:5zweis4XXFug8uxTRnqH1W	Marília Mendonça, Henrique & Juliano	Casa da Mãe Joana - Ao Vivo	Som Livre	42	142	41	538617	5zweis4XXFug8uxTRnqH1W
147	spotify:track:2lm3Ric7MeBk8hLfsiVokr	Dilsinho, Sorriso Maroto	Pouco a Pouco (Ao Vivo) (feat. Sorriso Maroto)	Sony Music Entertainment	138	148	21	535082	2lm3Ric7MeBk8hLfsiVokr
148	spotify:track:7fa9MBXhVfQ8P8Df9OEbD8	Maroon 5, Cardi B	Girls Like You (feat. Cardi B) - Cardi B Version	Interscope Records*	36	152	56	533967	7fa9MBXhVfQ8P8Df9OEbD8
149	spotify:track:36UiRg8wGUOFC3E0gdyvFA	Vitor Kley, Bruno Martini	Morena	Midas Music	46	149	44	532776	36UiRg8wGUOFC3E0gdyvFA
150	spotify:track:09Q3su74ehVmR87tA3msB9	Gusttavo Lima	Eu Não Iria - Ao Vivo	Som Livre	141	151	21	531294	09Q3su74ehVmR87tA3msB9
151	spotify:track:4uD7ypL7pDmOiMiVX6TCCa	Mc IG	3 Dias Virado	GR6 Music	35	143	71	529282	4uD7ypL7pDmOiMiVX6TCCa
152	spotify:track:0E9ZjEAyAwOXZ7wJC0PD33	Dynoro, Gigi D'Agostino	In My Mind	Columbia/B1 Recordings	36	163	47	528678	0E9ZjEAyAwOXZ7wJC0PD33
153	spotify:track:2JVbZEpewmqNlSzmXJTx2E	Alok, Ina Wroldsen	Favela	Syco Music UK	4	157	45	526609	2JVbZEpewmqNlSzmXJTx2E
154	spotify:track:3Vc8vnid3noqupe9PvUKxP	Orgânico, Lourena, Sant, Rap Box	Dizeres	Rap Box / Casa 1 Records	65	160	22	526285	3Vc8vnid3noqupe9PvUKxP
155	spotify:track:1qDZnViQgUItsMpWLVwfGb	ANAVITÓRIA, Matheus & Kauan	Fica	Universal Music Ltda.	20	150	114	525938	1qDZnViQgUItsMpWLVwfGb
156	spotify:track:3e9HZxeyfWwjeyPAMmWSSQ	Ariana Grande	thank u, next	Republic Records	7	166	34	525464	3e9HZxeyfWwjeyPAMmWSSQ
157	spotify:track:7MPQNyAX02uIEQCRsC4sgc	Matuê, Predella	Banco	30PRAUM	80	154	23	521400	7MPQNyAX02uIEQCRsC4sgc
158	spotify:track:0vT797IpZpF5o1XLCnWCUL	Ferrugem, Bruno Cardoso	É natural (Participação especial de Bruno Cardoso) - Ao vivo	WM Brazil	36	147	46	520165	0vT797IpZpF5o1XLCnWCUL
159	spotify:track:2PADJK4rhdklqFLQFa5oMX	Atitude 67	Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo	Universal Music Ltda.	15	130	79	520137	2PADJK4rhdklqFLQFa5oMX
160	spotify:track:2BF6mQdYAkLmeRQmX7YyPy	Baco Exu do Blues, 1LUM3	Me Desculpa Jay Z	999	27	162	31	516111	2BF6mQdYAkLmeRQmX7YyPy
161	spotify:track:4u7EnebtmKWzUH433cf5Qv	Queen	Bohemian Rhapsody - Remastered 2011	EMI	48	159	34	515592	4u7EnebtmKWzUH433cf5Qv
162	spotify:track:0e7ipj03S05BNilyu5bRzt	Post Malone, 21 Savage	rockstar (feat. 21 Savage)	Republic Records	14	156	93	513879	0e7ipj03S05BNilyu5bRzt
163	spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki	Sam Smith, Normani	Dancing With A Stranger (with Normani)	Capitol	60	169	24	511693	6Qs4SXO9dwPj5GKvVOv8Ki
